time,communication_mode,recovery_policy,effective_recovery_policy,action_type,executor_node_id,target_node_ids,result_state,decision_reason,scene_type,operation_mode
158.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
159.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
159.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
160.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
160.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
161.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
161.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
162.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
162.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
163.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
163.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
164.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
164.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
165.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
165.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
166.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
166.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
167.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
167.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
168.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
168.6,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
169.1,hybrid,global_recovery,global_recovery,hybrid_leader_global_plus_local_adjustment,0,"1,3,5,9,11,13",executed,requested_global_recovery_applied,urban,cooperative
