time_s,nodeId,eventType
12.429,5,Tx Data
12.429,14,Rx Data
12.429,14,Tx Ack
12.429,5,Rx Ack
12.433,5,Tx Data
12.433,14,Rx Data
12.437,5,Tx Data
12.437,14,Rx Data
12.437,14,Tx Ack
12.437,5,Rx Ack
12.441,5,Tx Data
12.441,14,Rx Data
12.445,5,Tx Data
12.445,14,Rx Data
12.445,14,Tx Ack
12.446,5,Rx Ack
12.449,5,Tx Data
12.450,14,Rx Data
12.450,5,Tx Ack
12.450,14,Rx Ack
12.450,14,Tx Ack
12.450,5,Rx Ack
12.450,5,Tx Ack
12.450,14,Rx Ack
13.002,14,Tx Ack
13.004,11,Rx Ack
13.004,11,Tx Ack
13.004,14,Rx Ack
13.008,11,Tx Data
13.008,14,Rx Data
13.008,14,Tx Ack
13.008,11,Rx Ack
13.012,11,Tx Data
13.012,14,Rx Data
13.016,11,Tx Data
13.016,14,Rx Data
13.016,14,Tx Ack
13.016,11,Rx Ack
13.020,11,Tx Data
13.020,14,Rx Data
13.024,11,Tx Data
13.024,14,Rx Data
13.024,14,Tx Ack
13.025,11,Rx Ack
13.028,11,Tx Data
13.029,14,Rx Data
13.032,11,Tx Data
13.033,14,Rx Data
13.033,14,Tx Ack
13.033,11,Rx Ack
13.037,11,Tx Data
13.037,14,Rx Data
13.041,11,Tx Data
13.041,14,Rx Data
13.041,14,Tx Ack
13.041,11,Rx Ack
13.045,11,Tx Data
13.045,14,Rx Data
13.049,11,Tx Data
13.049,14,Rx Data
13.049,14,Tx Ack
13.049,11,Rx Ack
13.050,11,Tx Ack
13.050,14,Rx Ack
13.050,14,Tx Ack
13.050,11,Rx Ack
13.050,11,Tx Ack
13.050,14,Rx Ack
14.801,10,Tx Ack
14.801,3,Rx Ack
14.801,3,Tx Ack
14.801,10,Rx Ack
14.805,3,Tx Data
14.806,10,Rx Data
14.806,10,Tx Ack
14.806,3,Rx Ack
14.809,3,Tx Data
14.810,10,Rx Data
14.814,3,Tx Data
14.814,10,Rx Data
14.814,10,Tx Ack
14.814,3,Rx Ack
14.818,3,Tx Data
14.818,10,Rx Data
14.822,3,Tx Data
14.822,10,Rx Data
14.822,10,Tx Ack
14.822,3,Rx Ack
14.826,3,Tx Data
14.826,10,Rx Data
14.830,3,Tx Data
14.830,10,Rx Data
14.830,10,Tx Ack
14.830,3,Rx Ack
14.834,3,Tx Data
14.834,10,Rx Data
14.838,3,Tx Data
14.838,10,Rx Data
14.838,10,Tx Ack
14.838,3,Rx Ack
14.842,3,Tx Data
14.842,10,Rx Data
14.846,3,Tx Data
14.847,10,Rx Data
14.847,10,Tx Ack
14.847,3,Rx Ack
14.850,3,Tx Ack
14.850,10,Rx Ack
14.850,10,Tx Ack
14.850,3,Rx Ack
14.850,3,Tx Ack
14.850,10,Rx Ack
15.005,2,Tx Ack
15.014,10,Rx Ack
15.014,10,Tx Ack
15.014,2,Rx Ack
15.018,10,Tx Data
15.018,2,Rx Data
15.018,2,Tx Ack
15.018,10,Rx Ack
15.022,10,Tx Data
15.022,2,Rx Data
15.026,10,Tx Data
15.026,2,Rx Data
15.026,2,Tx Ack
15.026,10,Rx Ack
15.030,10,Tx Data
15.030,2,Rx Data
15.034,10,Tx Data
15.034,2,Rx Data
15.034,2,Tx Ack
15.035,10,Rx Ack
15.038,10,Tx Data
15.039,2,Rx Data
15.042,10,Tx Data
15.043,2,Rx Data
15.043,2,Tx Ack
15.043,10,Rx Ack
15.046,10,Tx Data
15.047,2,Rx Data
15.050,10,Tx Ack
15.050,2,Rx Ack
15.050,2,Tx Ack
15.050,10,Rx Ack
15.050,10,Tx Ack
15.050,2,Rx Ack
15.205,6,Tx Ack
15.212,7,Rx Ack
15.212,7,Tx Ack
15.212,6,Rx Ack
15.216,7,Tx Data
15.216,6,Rx Data
15.216,6,Tx Ack
15.216,7,Rx Ack
15.220,7,Tx Data
15.220,6,Rx Data
15.224,7,Tx Data
15.224,6,Rx Data
15.224,6,Tx Ack
15.224,7,Rx Ack
15.228,7,Tx Data
15.228,6,Rx Data
15.232,7,Tx Data
15.232,6,Rx Data
15.232,6,Tx Ack
15.233,7,Rx Ack
15.236,7,Tx Data
15.236,6,Rx Data
15.240,7,Tx Data
15.241,6,Rx Data
15.241,6,Tx Ack
15.241,7,Rx Ack
15.244,7,Tx Data
15.245,6,Rx Data
15.249,7,Tx Data
15.249,6,Rx Data
15.249,6,Tx Ack
15.249,7,Rx Ack
15.250,7,Tx Ack
15.250,6,Rx Ack
15.250,6,Tx Ack
15.250,7,Rx Ack
15.250,7,Tx Ack
15.250,6,Rx Ack
15.408,3,Tx Ack
15.409,5,Rx Ack
15.409,5,Tx Ack
15.409,3,Rx Ack
15.413,5,Tx Data
15.413,3,Rx Data
15.413,3,Tx Ack
15.413,5,Rx Ack
15.417,5,Tx Data
15.417,3,Rx Data
15.421,5,Tx Data
15.421,3,Rx Data
15.421,3,Tx Ack
15.422,5,Rx Ack
15.425,5,Tx Data
15.425,3,Rx Data
15.429,5,Tx Data
15.430,3,Rx Data
15.430,3,Tx Ack
15.430,5,Rx Ack
15.433,5,Tx Data
15.434,3,Rx Data
15.438,5,Tx Data
