time_s,nodeId,x,y,z
47,7,6.952,0.033,6.37
47,8,7.954,0.078,9.91
47,9,-1.03377,0.988,6.27
47,10,-0.0280507,1.01144,6.33
47,11,0.906226,1.021,6.28495
47,12,1.898,1.054,6.3
47,13,2.93874,1.01458,6.28
47,14,-1.029,0.0216407,6.27967
48,0,0.009,0.011,6.27
48,1,0.942331,0.067,6.27259
48,2,1.915,0.033,6.26586
48,3,2.962,0.033,6.29
48,4,1.197,0.233,3.63
48,5,4.91349,0.055,12.7498
48,6,5.799,0.499,10.58
48,7,6.952,0.033,6.37
48,8,7.954,0.078,9.91
48,9,-1.0311,0.988,6.27
48,10,-0.0307173,1.01511,6.33
48,11,0.904774,1.021,6.28086
48,12,1.898,1.054,6.3
48,13,2.94174,1.01824,6.28
48,14,-1.03411,0.022,6.28301
49,0,0.008556,0.0115427,6.27049
49,1,0.940669,0.067,6.27074
49,2,1.915,0.033,6.26253
49,3,2.962,0.033,6.29
49,4,1.90878,0.184679,3.63
49,5,4.9075,0.055,9.03564
49,6,5.799,0.499,10.58
49,7,6.952,0.033,6.37
49,8,7.954,0.078,9.91
49,9,-1.02957,0.987219,6.27071
49,10,-0.033384,1.01878,6.33
49,11,0.907774,1.021,6.28419
49,12,1.898,1.054,6.3
49,13,2.944,1.021,6.28083
49,14,-1.03978,0.022,6.28634
50,0,0.005556,0.0152093,6.27383
50,1,0.943669,0.067,6.27408
50,2,1.91645,0.0347747,6.26242
50,3,2.962,0.033,6.29
50,4,2.83678,0.121679,3.63
50,5,4.9045,0.055,6.25333
50,6,5.799,0.499,10.58
50,7,6.952,0.033,6.37
50,8,7.954,0.078,9.91
50,9,-1.03223,0.983552,6.27404
50,10,-0.036182,1.021,6.32869
50,11,0.910774,1.021,6.28753
50,12,1.898,1.05169,6.3021
50,13,2.944,1.021,6.28416
50,14,-1.04544,0.022,6.28967
51,0,0.002556,0.018876,6.27716
51,1,0.946669,0.067,6.27741
51,2,1.92245,0.042108,6.27242
51,3,2.962,0.033,6.29
51,4,3.76478,0.058679,3.63
51,5,4.9105,0.055,6.26667
51,6,5.799,0.499,10.58
51,7,6.952,0.033,6.37
51,8,7.954,0.078,9.91
51,9,-1.0349,0.979886,6.27738
51,10,-0.039182,1.021,6.32535
51,11,0.912226,1.021,6.28914
51,12,1.898,1.04802,6.30544
51,13,2.944,1.021,6.28749
51,14,-1.04329,0.022,6.29
52,0,0.000444,0.0214573,6.28
52,1,0.949669,0.067,6.27926
52,2,1.92845,0.0494413,6.28242
52,3,2.962,0.033,6.29
52,4,3.981,0.044,3.64023
52,5,4.9165,0.055,6.28
52,6,5.799,0.499,10.58
52,7,6.952,0.033,6.37
52,8,7.954,0.078,9.91
52,9,-1.03643,0.977,6.28071
52,10,-0.042182,1.021,6.32202
52,11,0.909226,1.021,6.28581
52,12,1.898,1.04435,6.30877
52,13,2.944,1.021,6.29
52,14,-1.04029,0.022,6.29
53,0,0.003444,0.0177907,6.28
53,1,0.952669,0.067,6.27592
53,2,1.93227,0.0541127,6.28839
53,3,2.962,0.0362927,6.29
53,4,3.981,0.044,3.65356
53,5,4.92025,0.0540833,6.28833
53,6,5.82919,0.417248,10.5692
53,7,6.952,0.033,6.37
53,8,7.954,0.078,9.91
53,9,-1.03377,0.977,6.28404
53,10,-0.042818,1.021,6.32
53,11,0.906226,1.021,6.28247
53,12,1.89968,1.04763,6.31
53,13,2.944,1.021,6.29
53,14,-1.03729,0.022,6.29
54,0,0.006444,0.014124,6.28
54,1,0.955669,0.067,6.27259
54,2,1.92927,0.050446,6.28172
54,3,2.962,0.0399593,6.29
54,4,3.981,0.044,3.66689
54,5,4.91725,0.0504167,6.28167
54,6,5.96577,0.0473293,10.5204
54,7,6.952,0.033,6.34788
54,8,7.954,0.078,9.91
54,9,-1.0311,0.977,6.28738
